Hobbies,Categeory
3D printing,Indoor 
Acting,Indoor 
Amateur radio,Indoor 
Baking,Indoor 
Baton twirling,Indoor 
Board/tabletop games,Indoor 
Book restoration,Indoor 
Cabaret,Indoor 
Calligraphy,Indoor 
Candle making,Indoor 
Coffee roasting,Indoor 
Coloring,Indoor 
Computer programming,Indoor 
Cooking,Indoor 
Cosplaying,Indoor 
Couponing,Indoor 
Creative writing,Indoor 
Crocheting,Indoor 
Cross-stitch,Indoor 
Crossword puzzles,Indoor 
Cryptography,Indoor 
Dance,Indoor 
Digital arts,Indoor 
Do it yourself,Indoor 
Drama,Indoor 
Drawing,Indoor 
Electronics,Indoor 
Embroidery,Indoor 
Fantasy sports,Indoor 
Fashion,Indoor 
Fishkeeping,Indoor 
Flower arranging,Indoor 
Foreign language learning,Indoor 
Gaming (tabletop games and role-playing games),Indoor 
Genealogy,Indoor 
Glassblowing,Indoor 
Gunsmithing,Indoor 
Herp keeping,Indoor 
Homebrewing,Indoor 
Hydroponics,Indoor 
Ice skating,Indoor 
Jewelry making,Indoor 
Jigsaw puzzles,Indoor 
Juggling,Indoor 
Knife making,Indoor 
Knitting,Indoor 
Kombucha brewing,Indoor 
Lacemaking,Indoor 
Lapidary,Indoor 
Leather crafting,Indoor 
Lego building,Indoor 
Listening to music,Indoor 
Machining,Indoor 
Macrame,Indoor 
Magic,Indoor 
Metalworking,Indoor 
Model building,Indoor 
Origami,Indoor 
Painting,Indoor 
Pet,Indoor 
Philately,Indoor 
Photography,Indoor 
Playing musical instruments,Indoor 
Poi,Indoor 
Pottery,Indoor 
Puzzles,Indoor 
Quilling,Indoor 
Quilting,Indoor 
Reading,Indoor 
Scrapbooking,Indoor 
Sculpting,Indoor 
Sewing,Indoor 
Singing,Indoor 
Sketching,Indoor 
Soapmaking,Indoor 
Stand-up comedy,Indoor 
Table tennis,Indoor 
Tatting,Indoor 
Taxidermy,Indoor 
Video gaming,Indoor 
Movies,Indoor 
Home Movies,Indoor 
Watching movies,Indoor 
Television,Indoor 
Watching television,Indoor 
Web surfing,Indoor 
Whittling,Indoor 
Wood carving,Indoor 
Woodworking,Indoor 
Worldbuilding,Indoor 
Writing,Indoor 
Yo-yoing,Indoor 
Yoga,Indoor 
Air sports,Outdoor
Archery,Outdoor
Astronomy,Outdoor
BASE jumping,Outdoor
Baseball,Outdoor
Basketball,Outdoor
Beekeeping,Outdoor
Bird watching,Outdoor
Blacksmithing,Outdoor
Board sports,Outdoor
Bodybuilding,Outdoor
Brazilian jiu-jitsu,Outdoor
Camping,Outdoor
Canyoning,Outdoor
Dowsing,Outdoor
Directing,Outdoor
Driving,Outdoor
Fishing,Outdoor
Flag football,Outdoor
Flying,Outdoor
Flying disc,Outdoor
Foraging,Outdoor
Freestyle football,Outdoor
Gardening,Outdoor
Geocaching,Outdoor
Ghost hunting,Outdoor
Graffiti,Outdoor
Handball,Outdoor
High-power rocketry,Outdoor
Hiking,Outdoor
Hooping,Outdoor
Horseback riding,Outdoor
Hunting,Outdoor
Inline skating,Outdoor
Jogging,Outdoor
Kayaking,Outdoor
Kite flying,Outdoor
Kitesurfing,Outdoor
LARPing,Outdoor
Letterboxing,Outdoor
Martial arts,Outdoor
Metal detecting,Outdoor
Motor sports,Outdoor
Mountain biking,Outdoor
Mountaineering,Outdoor
Mushroom hunting/mycology,Outdoor
Netball,Outdoor
Nordic skating,Outdoor
Orienteering,Outdoor
Paintball,Outdoor
Parkour,Outdoor
Photography,Outdoor
Polo,Outdoor
Powerlifting,Outdoor
Rafting,Outdoor
Rappelling,Outdoor
Road biking,Outdoor
Rock climbing,Outdoor
Roller skating,Outdoor
Rugby,Outdoor
Running,Outdoor
Sailing,Outdoor
Sand art,Outdoor
Scouting,Outdoor
Scuba diving,Outdoor
Sculling or rowing,Outdoor
Shooting,Outdoor
Shopping,Outdoor
Skateboarding,Outdoor
Skiing,Outdoor
Skimboarding,Outdoor
Skydiving,Outdoor
Slacklining,Outdoor
Snowboarding,Outdoor
Stone skipping,Outdoor
Surfing,Outdoor
Swimming,Outdoor
Taekwondo,Outdoor
Tai chi,Outdoor
Topiary,Outdoor
Travel,Outdoor
Trekking,Outdoor
Urban exploration,Outdoor
Vacation,Outdoor
Vehicle restoration,Outdoor
Walking,Outdoor
Water sports,Outdoor
Action figure,Collection
Antiquing,Collection
Art collecting,Collection
Book collecting,Collection
Card collecting,Collection
Coin collecting,Collection
Comic book collecting,Collection
Deltiology (postcard collecting),Collection
Die-cast toy,Collection
Element collecting,Collection
Movie and movie memorabilia collecting,Collection
Record collecting,Collection
Stamp collecting,Collection
Video game collecting,Collection
Vintage cars,Collection
Antiquities,Collection
Auto audiophilia,Collection
Flower collecting and pressing,Collection
Fossil hunting,Collection
Insect collecting,Collection
Magnet fishing,Collection
Metal detecting,Collection
Mineral collecting,Collection
Rock balancing,Collection
Sea glass collecting,Collection
Seashell collecting,Collection
Stone collecting,Collection
Animal fancy,Competitive
Badminton,Competitive
Baton twirling,Competitive
Billiards,Competitive
Bowling,Competitive
Boxing,Competitive
Bridge,Competitive
Cheerleading,Competitive
Chess,Competitive
Color guard,Competitive
Curling,Competitive
Dancing,Competitive
Darts,Competitive
Debate,Competitive
Fencing,Competitive
Go,Competitive
Gymnastics,Competitive
Ice skating,Competitive
Kabaddi,Competitive
Laser tag,Competitive
Mahjong,Competitive
Marbles,Competitive
Martial arts,Competitive
Poker,Competitive
Slot car racing,Competitive
Speedcubing,Competitive
Sport stacking,Competitive
Table football,Competitive
Volleyball,Competitive
Weightlifting,Competitive
Airsoft,Competitive
American football,Competitive
Archery,Competitive
Association football,Competitive
Australian rules football,Competitive
Auto racing,Competitive
Baseball,Competitive
Beach volleyball,Competitive
Breakdancing,Competitive
Climbing,Competitive
Cricket,Competitive
Cycling,Competitive
Disc golf,Competitive
Dog sport,Competitive
Equestrianism,Competitive
Exhibition drill,Competitive
Field hockey,Competitive
Figure skating,Competitive
Fishing,Competitive
Footbag,Competitive
Golfing,Competitive
Handball,Competitive
Horseback riding,Competitive
Ice hockey,Competitive
Judo,Competitive
Jukskei,Competitive
Kart racing,Competitive
Knife throwing,Competitive
Lacrosse,Competitive
Marching band,Competitive
Model aircraft,Competitive
Racquetball,Competitive
Radio-controlled car racing,Competitive
Roller derby,Competitive
Rugby league football,Competitive
Sculling or rowing,Competitive
Shooting sport,Competitive
Skateboarding,Competitive
Speed skating,Competitive
Squash,Competitive
Surfing,Competitive
Swimming,Competitive
Table tennis,Competitive
Tennis,Competitive
Tour skating,Competitive
Triathlon,Competitive
Ultimate frisbee ,Competitive
Volleyball,Competitive
Water polo,Competitive
Fishkeeping,Observation
Learning,Observation
Microscopy,Observation
Reading,Observation
Shortwave listening,Observation
Videophilia,Observation
Aircraft spotting,Observation
Amateur astronomy,Observation
Astrology,Observation
Birdwatching,Observation
Bus spotting,Observation
Geocaching,Observation
Gongoozling,Observation
Herping,Observation
Hiking/backpacking,Observation
Meteorology,Observation
Photography,Observation
Satellite watching,Observation
Trainspotting,Observation
Traveling,Observation
Whale watching,Observation
Gambling,Fancy
Lottery,Fancy
Pickpocketing,Fancy
